Date2,Trap,Species,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure,Latitude,Longitude,Month
2007-05-29,T002,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5
2007-05-29,T002,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5
2007-05-29,T007,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.994991,-87.769279,5
2007-05-29,T015,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5
2007-05-29,T015,CULEX RESTUANS,4,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5
2007-05-29,T045,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.9216,-87.666455,5
2007-05-29,T046,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891118,-87.65449100000002,5
2007-05-29,T048,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5
2007-05-29,T048,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5
2007-05-29,T049,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.896282,-87.655232,5
2007-05-29,T050,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.919343,-87.694259,5
2007-05-29,T054,CULEX PIPIENS/RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5
2007-05-29,T054,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.921965,-87.632085,5
2007-05-29,T086,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.688324,-87.676709,5
2007-05-29,T086,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.688324,-87.676709,5
2007-05-29,T091,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.862292,-87.64886,5
2007-05-29,T094,CULEX RESTUANS,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.720848,-87.666014,5
2007-05-29,T096,CULEX PIPIENS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.731922,-87.677512,5
2007-05-29,T096,CULEX RESTUANS,5,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.731922,-87.677512,5
2007-05-29,T129,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891126,-87.61156,5
2007-05-29,T129,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891126,-87.61156,5
2007-05-29,T143,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.999129,-87.795585,5
2007-05-29,T148,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,42.01743,-87.68776899999997,5
2007-05-29,T153,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.907645,-87.760886,5
2007-05-29,T159,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.732984,-87.649642,5
2007-06-05,T002,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.95469,-87.800991,6
2007-06-05,T002,CULEX PIPIENS/RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.95469,-87.800991,6
2007-06-05,T002,CULEX RESTUANS,5,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.95469,-87.800991,6
2007-06-05,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.98196400000001,-87.812827,6
2007-06-05,T009,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.99247800000001,-87.862995,6
2007-06-05,T011,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.944869,-87.832763,6
2007-06-05,T015,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.974089,-87.824812,6
2007-06-05,T015,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.974089,-87.824812,6
2007-06-05,T016,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,42.011601,-87.81150600000002,6
2007-06-05,T019,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.94983,-87.69845699999998,6
2007-06-05,T025,CULEX RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.979243,-87.750938,6
2007-06-05,T028,CULEX RESTUANS,2,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.986921,-87.689778,6
2007-06-05,T031,CULEX PIPIENS/RESTUANS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.801498,-87.763416,6
2007-06-05,T033,CULEX RESTUANS,3,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.906638,-87.701431,6
2007-06-05,T045,CULEX PIPIENS,1,0,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000006,41.9216,-87.666455,6
